Circuit Size,Peak,service,in_bps,Device,PerCent,@timestamp,type,out_bps
3000,46.028136,ISP,45905844.0,indc,1.5342712,2022-01-12 01:48:13.768732,CircuitUtil,46028136.0
1000,161.037728,ISP,161037728.0,tw52,16.103772799999998,2022-01-12 01:59:23.797414,CircuitUtil,77235000.0
100,6.2642565,ISP,5788980.0,cn30,6.2642565,2022-01-12 01:51:09.965380,CircuitUtil,6264256.5
3000,66.47908,ISP,66479080.0,indc,2.2159693333333332,2022-01-12 01:57:13.808862,CircuitUtil,65231796.0
1000,178.652864,ISP,178652864.0,tw52,17.8652864,2022-01-12 01:50:23.535404,CircuitUtil,78349408.0
500,18.25847,ISP,18258470.0,il01,3.651694,2022-01-12 01:59:21.778882,CircuitUtil,6285259.0
1000,2.942583,ISP,1538445.375,pt02,0.2942583,2022-01-12 01:59:59.239336,CircuitUtil,2942583.0
200,1.4141825,ISP,1262053.25,pl01,0.70709125,2022-01-12 01:58:17.484854,CircuitUtil,1414182.5
500,2.3818865,ISP,2115428.5,fr65,0.4763773,2022-01-12 01:58:20.809992,CircuitUtil,2381886.5
100,1.160083375,ISP,1160083.375,se80,1.160083375,2022-01-12 01:57:05.858000,CircuitUtil,812706.0
1000,230.715616,ISP,230715616.0,jp01,23.071561600000003,2022-01-12 01:53:50.389525,CircuitUtil,70918472.0
1000,0.676000125,ISP,673756.0,pt01,0.0676000125,2022-01-12 01:57:48.777670,CircuitUtil,676000.125
500,69.596288,ISP,69596288.0,cn58,13.919257600000002,2022-01-12 01:48:09.481073,CircuitUtil,43477284.0
1000,10.738532,ISP,10738532.0,in19,1.0738531999999998,2022-01-12 01:59:31.075733,CircuitUtil,9110978.0
500,15.206334,ISP,15206334.0,il01,3.0412668,2022-01-12 01:50:21.793410,CircuitUtil,5518227.0
1000,2.88656375,ISP,1279053.375,pt02,0.288656375,2022-01-12 01:50:59.326233,CircuitUtil,2886563.75
200,1.615894375,ISP,1555117.25,pl01,0.8079471875,2022-01-12 01:49:17.441160,CircuitUtil,1615894.375
500,2.54770875,ISP,2253184.0,fr65,0.50954175,2022-01-12 01:49:20.840159,CircuitUtil,2547708.75
100,0.474079125,ISP,446132.78125,se80,0.474079125,2022-01-12 01:48:05.784292,CircuitUtil,474079.125
1000,2.021731,ISP,2021731.0,pt01,0.20217310000000002,2022-01-12 01:48:48.815944,CircuitUtil,728613.9375
500,63.82024,ISP,63820240.0,cn58,12.764048,2022-01-12 01:57:09.434838,CircuitUtil,46620112.0
1000,7.608068,ISP,7608068.0,in19,0.7608068,2022-01-12 01:50:31.105893,CircuitUtil,6117644.5
200,32.329074,MPLS,16890562.0,fr65,16.164537,2022-01-12 01:57:45.778663,CircuitUtil,32329074.0
500,239.74976,MPLS,86826368.0,jp01,47.949952,2022-01-12 01:49:38.238161,CircuitUtil,239749760.0
200,22.737706,MPLS,3700438.5,pl01,11.368853,2022-01-12 01:57:05.326247,CircuitUtil,22737706.0
200,27.326894,MPLS,27326894.0,tw01,13.663447000000001,2022-01-12 01:52:37.342180,CircuitUtil,10387947.0
200,44.30944,MPLS,44309440.0,cn30,22.15472,2022-01-12 01:58:49.466280,CircuitUtil,7085374.5
200,43.29266,MPLS,25784488.0,fr65,21.64633,2022-01-12 01:48:46.543414,CircuitUtil,43292660.0
500,234.811792,MPLS,100455776.0,jp01,46.9623584,2022-01-12 01:58:38.230895,CircuitUtil,234811792.0
200,22.890782,MPLS,4324921.0,pl01,11.445391,2022-01-12 01:48:05.253032,CircuitUtil,22890782.0
200,38.709004,MPLS,38709004.0,cn30,19.354502,2022-01-12 01:49:49.465193,CircuitUtil,6565598.5
50,0.32411884375,MPLS,250596.84375,gb01,0.6482376875,2022-01-12 01:47:07.137552,CircuitUtil,324118.84375
50,6.1234015,MPLS,6123401.5,il01,12.246803,2022-01-12 01:57:53.450553,CircuitUtil,1286028.5
1000,19.952326,MPLS,19952326.0,mdc,1.9952326,2022-01-12 01:53:37.858769,CircuitUtil,11026922.0
50,1.12675375,MPLS,465075.0625,se80,2.2535075,2022-01-12 01:59:24.971864,CircuitUtil,1126753.75
300,4.357471,MPLS,4357471.0,pt02,1.4524903333333334,2022-01-12 01:58:29.298076,CircuitUtil,3238101.75
200,2.0248605,MPLS,2024860.5,pt01,1.01243025,2022-01-12 01:53:21.467074,CircuitUtil,823841.5
800,356.177792,MPLS,356177792.0,indc,44.522224,2022-01-12 01:58:12.906003,CircuitUtil,36990112.0
400,44.298312,MPLS,44298312.0,tw52,11.074578,2022-01-12 01:54:06.311085,CircuitUtil,42866380.0
500,49.88258,MPLS,22949272.0,am04,9.976515999999998,2022-01-12 01:58:56.893266,CircuitUtil,49882580.0
500,133.563,MPLS,133563000.0,cn58,26.7126,2022-01-12 01:52:47.607765,CircuitUtil,84837376.0
50,0.2767255625,MPLS,186385.390625,gb01,0.553451125,2022-01-12 01:56:07.106591,CircuitUtil,276725.5625
50,2.8979095,MPLS,2897909.5,il01,5.795819,2022-01-12 01:49:15.465301,CircuitUtil,1496920.25
50,0.7868009375,MPLS,786800.9375,se80,1.573601875,2022-01-12 01:50:24.935541,CircuitUtil,435303.375
300,55.864096,MPLS,55864096.0,pt02,18.621365333333333,2022-01-12 01:49:29.310652,CircuitUtil,4594983.0
800,270.825536,MPLS,270825536.0,indc,33.853192,2022-01-12 01:49:12.825989,CircuitUtil,35490440.0
400,40.7227,MPLS,37572120.0,tw52,10.180675,2022-01-12 01:45:06.153709,CircuitUtil,40722700.0
500,30.80225,MPLS,30802250.0,am04,6.16045,2022-01-12 01:49:56.873261,CircuitUtil,24731576.0
1000,177.20648,ISP,148960160.0,us04,17.720648,2022-01-12 02:54:22.310393,CircuitUtil,177206480.0
1000,103.518368,ISP,101086408.0,ca06,10.3518368,2022-01-12 02:54:17.214305,CircuitUtil,103518368.0
1000,106.067672,ISP,70331432.0,us03,10.6067672,2022-01-12 02:53:44.650902,CircuitUtil,106067672.0
100,25.668534,ISP,25668534.0,cl01,25.668533999999998,2022-01-12 02:54:19.761239,CircuitUtil,21490236.0
10000,0.0,ISP,0.0,sv2,0.0,2022-01-12 02:52:58.594361,CircuitUtil,0.0
1000,203.200608,ISP,181131328.0,us04,20.320060799999997,2022-01-12 02:45:22.369711,CircuitUtil,203200608.0
1000,51.941744,ISP,49007588.0,ca06,5.1941744,2022-01-12 02:45:17.221851,CircuitUtil,51941744.0
100,23.039206,ISP,23039206.0,cl01,23.039206,2022-01-12 02:45:19.768988,CircuitUtil,19598042.0
300,14.279274,MPLS,14279274.0,ca06,4.759758,2022-01-12 02:58:41.585731,CircuitUtil,12870307.0
200,87.170968,MPLS,16791496.0,us03,43.585484,2022-01-12 02:53:58.948158,CircuitUtil,87170968.0
150,33.279174,MPLS,33279174.0,cl01,22.186116,2022-01-12 02:59:07.431371,CircuitUtil,2794236.0
300,18.83335,MPLS,18833350.0,us04,6.277783333333333,2022-01-12 02:53:51.588591,CircuitUtil,12719468.0
1000,251.586256,MPLS,161960672.0,sv1,25.1586256,2022-01-12 02:52:58.401177,CircuitUtil,251586256.0
1000,246.695168,MPLS,246695168.0,sv2,24.6695168,2022-01-12 02:52:59.463678,CircuitUtil,229014880.0
300,16.975216,MPLS,12126767.0,ca06,5.6584053333333335,2022-01-12 02:49:41.583167,CircuitUtil,16975216.0
150,30.75753,MPLS,30757530.0,cl01,20.50502,2022-01-12 02:50:07.421658,CircuitUtil,6540789.5
